0,1,2,3,4,5,6,7,8
377,541,400,351,468,591,471,518,88
377,275,546,465,191,542,488,462,332
377,0,581,467,338,346,507,548,133
377,293,505,172,426,75,454,170,65
305,563,377,254,14,444,45,2,285
377,141,1,500,200,50,373,12,131
377,69,579,597,60,303,359,280,222
377,291,245,146,124,397,398,399,400
377,173,36,359,125,99,255,560,110
377,182,266,467,400,503,424,8,420
377,52,111,227,378,280,145,492,489
377,102,272,58,243,423,413,378,160
377,347,487,71,130,330,90,110,559
377,466,279,281,451,226,597,252,438
377,542,412,488,480,417,332,8,130
377,59,580,373,200,50,284,381,455
377,288,458,541,272,430,488,501,589
377,141,138,33,12,108,74,279,188
377,103,259,37,505,583,106,467,496
377,162,99,502,542,126,50,200,320
377,392,186,27,230,359,299,177,125
377,82,22,442,217,430,538,241,178
260,299,377,32,18,465,279,296,475
377,3,81,192,251,230,62,392,520
377,42,175,105,540,51,293,109,568
377,596,593,228,36,9,483,390,480
377,6,498,411,562,189,220,158,547
377,193,61,568,152,598,493,190,562
266,342,377,568,467,163,370,407,118
377,221,306,582,592,96,487,366,256
377,277,268,470,34,116,187,204,496
377,209,253,572,573,596,321,110,158
377,27,381,363,175,369,48,174,479
377,506,106,205,184,268,223,583,227
377,171,376,542,131,438,467,393,124
377,389,62,455,560,117,327,18,149
377,181,488,589,568,55,522,170,123
377,349,488,479,155,295,445,213,282
377,126,177,400,44,114,518,351,561
598,377,562,181,373,487,139,130,265
377,542,131,113,506,502,355,196,592
377,230,381,522,560,136,448,64,575
377,411,296,194,348,265,262,258,599
377,557,378,402,413,128,595,247,240
377,408,15,28,262,503,595,441,321
377,409,277,148,118,583,571,535,478
200,377,159,221,134,350,202,382,263
377,502,131,542,592,320,350,506,541
377,50,200,265,262,253,221,139,134
377,158,407,305,30,536,570,403,281
377,0,507,300,240,546,557,513,184
377,361,358,280,542,469,227,223,187
377,223,149,426,574,152,146,473,394
377,489,127,417,316,397,398,399,400
377,235,481,238,407,384,324,553,415
377,410,397,253,110,572,596,185,452
377,372,435,101,98,57,36,99,340
377,487,223,115,364,253,448,311,399
377,447,104,332,485,201,371,216,443
377,59,191,535,527,349,155,408,486
377,136,470,34,195,575,362,184,277
137,140,377,32,257,432,231,465,269
377,255,34,463,367,92,293,298,285
217,82,22,377,538,241,341,479,412
377,538,461,383,296,508,66,318,433
377,132,328,471,564,261,404,527,30
377,37,592,96,282,310,80,307,189
377,200,309,50,246,183,350,202,134
377,284,21,424,321,578,130,359,60
377,211,206,253,574,348,594,115,146
377,234,588,284,454,83,439,293,156
377,308,5,29,408,9,447,495,275
377,167,110,114,237,73,466,483,400
377,492,164,364,264,205,531,55,69
377,239,390,466,126,519,179,167,200
377,347,234,469,542,182,205,80,342
251,377,520,195,62,392,177,174,45
377,129,336,215,375,32,77,48,52
377,251,380,575,151,392,545,80,236
377,340,52,390,210,372,101,397,107
377,92,224,18,229,588,216,454,439
377,384,583,324,208,313,395,252,553
377,393,572,440,278,314,578,435,118
377,63,492,338,335,528,538,150,382
490,346,481,377,556,568,407,340,283
377,28,228,388,200,241,50,77,54
377,402,204,384,30,542,360,528,274
82,22,377,217,442,538,412,175,570
377,131,159,141,483,500,542,12,536
377,47,165,232,171,398,335,480,101
377,20,130,79,438,448,550,10,153
377,238,559,568,253,407,340,174,161
377,132,221,284,564,443,210,309,4
377,538,22,82,442,217,557,182,568
377,153,33,32,216,9,418,141,360
377,468,591,474,154,344,123,26,471
377,290,22,82,442,217,306,157,579
230,392,377,380,520,575,530,545,410
377,235,384,313,451,350,167,200,534
377,211,223,265,429,281,202,209,284
563,377,158,444,305,2,343,285,485
377,47,216,463,298,268,569,162,466
377,11,52,306,129,231,293,487,233
432,377,215,32,137,140,9,389,465
377,74,386,578,577,196,231,421,411
259,377,592,559,340,37,172,280,469
260,299,377,32,18,465,279,296,475
377,336,132,375,52,219,16,564,346
265,377,193,202,581,348,200,50,139
377,200,50,424,159,503,493,371,53
377,350,227,50,200,447,368,492,29
262,377,193,253,202,348,139,50,200
182,377,342,305,568,467,163,118,370
377,488,412,132,597,542,564,208,120
377,463,184,277,298,255,216,569,187
377,275,465,32,495,462,137,447,9
377,447,9,408,495,578,33,332,441
377,511,339,76,364,61,201,420,585
377,328,170,589,471,165,525,378,373
377,554,526,488,479,375,511,282,36
377,564,34,424,380,481,120,208,332
377,495,308,5,462,465,9,480,269
377,265,109,549,262,187,4,79,407
377,184,268,199,409,470,91,34,148
377,340,334,46,139,570,469,574,287
377,167,171,299,47,260,176,300,441
377,259,103,340,510,592,164,205,542
377,167,321,438,253,284,466,449,519
377,121,488,479,85,492,350,564,92
377,490,346,481,238,556,583,488,106
377,222,21,321,389,65,281,246,130
377,417,412,216,384,435,34,158,92
377,346,442,217,341,479,393,86,569
377,592,278,399,146,378,439,281,50
377,170,399,482,529,200,50,447,9
377,578,577,597,100,51,196,68,528
377,525,250,560,301,291,151,54,570
377,54,290,151,525,124,241,570,161
377,56,136,333,325,417,316,398,399
377,134,61,318,216,157,256,178,224
377,548,363,191,349,109,447,479,9
377,488,479,191,492,282,357,283,121
377,477,461,431,196,182,176,260,266
377,508,353,322,524,96,37,387,493
377,463,255,268,490,216,569,564,346
176,260,377,279,381,345,174,32,577
377,120,171,25,204,279,589,335,465
377,565,290,106,148,425,376,512,521
377,97,467,25,124,520,316,371,188
377,131,592,542,48,381,49,359,162
377,526,62,193,511,298,596,598,64
158,377,563,254,266,14,444,45,203
377,487,0,366,459,256,183,194,71
310,377,220,566,393,339,26,313,84
308,377,29,9,275,480,495,225,408
377,92,221,63,318,99,246,574,66
307,377,437,355,220,566,313,26,84
374,377,542,488,449,332,473,587,412
377,341,437,283,225,343,278,497,174
377,384,235,42,252,111,324,496,128
377,472,118,549,223,278,469,375,443
377,567,498,6,210,562,94,108,411
377,207,384,302,417,292,595,540,72
377,587,576,368,365,29,408,488,549
377,352,293,152,309,92,538,63,54
377,340,117,36,372,101,210,98,57
377,331,502,475,540,542,173,428,201
377,281,284,359,222,404,355,405,345
377,542,456,131,297,506,479,194,502
377,368,504,527,578,137,140,277,560
377,235,384,208,453,395,553,241,3
377,2,6,498,292,562,380,411,538
434,377,401,512,521,476,133,470,306
377,59,469,189,489,381,454,586,549
377,405,219,471,272,367,488,247,557
377,397,398,399,400,401,402,403,404
377,492,557,324,469,170,488,594,178
377,348,320,472,172,488,30,475,336
377,447,380,542,488,251,311,575,530
377,437,539,17,407,292,390,546,312
377,278,46,382,133,200,50,440,484
377,458,99,25,393,237,372,101,578
377,16,375,77,231,52,48,402,261
377,381,48,360,167,466,303,27,281
377,382,237,399,156,597,417,291,398
377,60,382,365,238,568,149,116,271
377,259,103,280,36,238,101,469,98
377,442,217,479,312,473,343,578,507
182,377,266,568,370,118,247,328,594
377,341,88,238,379,283,568,158,563
377,26,566,152,456,223,390,155,27
377,114,321,299,381,16,567,390,152
490,481,238,377,556,393,36,46,283
377,559,145,40,90,229,166,591,116
377,331,223,115,534,265,262,196,570
377,191,527,535,213,550,10,294,566
377,481,542,200,50,264,131,447,282
377,564,114,494,154,460,33,366,141
377,318,200,50,149,538,170,594,91
377,96,37,297,431,54,396,145,5
377,51,597,578,577,90,449,79,130
377,542,131,506,437,194,502,592,321
377,76,275,9,517,350,527,480,5
377,488,479,410,69,251,295,451,458
361,377,205,100,280,208,160,46,149
377,513,110,125,416,448,162,321,91
377,502,453,542,346,240,488,337,471
358,377,205,280,400,100,160,46,208
377,306,195,575,214,533,590,326,38
377,27,542,186,311,48,294,127,132
377,211,227,120,106,223,146,105,47
377,587,543,71,317,339,382,576,60
377,306,432,459,487,50,200,33,376
377,34,216,81,395,85,328,285,484
377,557,323,527,29,524,317,408,308
377,481,457,186,466,350,555,582,148
377,182,342,568,266,247,418,384,469
377,412,544,467,593,452,212,469,263
377,36,210,101,98,541,57,99,340
377,193,159,564,1,598,562,272,169
311,377,542,488,450,393,449,332,462
377,336,554,77,16,564,231,48,261
