0,1,2,3,4,5,6,7,8,9,10
1.18,1.28,1.3,1.32,1.32,1.33,1.35,1.36,1.36,1.36,1.37
1.2,1.32,1.33,1.34,1.35,1.35,1.36,1.36,1.36,1.37,1.37
1.23,1.28,1.33,1.34,1.35,1.36,1.36,1.38,1.39,1.39,1.39
1.2,1.32,1.33,1.36,1.37,1.37,1.37,1.38,1.38,1.38,1.38
1.33,1.34,1.34,1.35,1.35,1.36,1.36,1.37,1.37,1.37,1.37
1.19,1.21,1.29,1.32,1.33,1.33,1.35,1.35,1.35,1.35,1.35
1.22,1.32,1.34,1.35,1.37,1.41,1.41,1.41,1.41,1.41,1.41
1.18,1.32,1.34,1.34,1.36,1.36,1.37,1.37,1.38,1.41,1.41
1.31,1.31,1.35,1.36,1.36,1.37,1.37,1.37,1.38,1.38,1.38
1.33,1.34,1.36,1.37,1.37,1.37,1.37,1.37,1.37,1.38,1.38
1.23,1.3,1.3,1.34,1.34,1.35,1.36,1.37,1.37,1.37,1.38
1.36,1.37,1.38,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.32,1.36,1.37,1.38,1.38,1.38,1.38,1.38,1.39,1.39,1.39
1.18,1.31,1.34,1.35,1.36,1.36,1.41,1.41,1.41,1.41,1.41
1.33,1.35,1.37,1.37,1.37,1.38,1.41,1.41,1.41,1.41,1.41
1.25,1.28,1.32,1.32,1.33,1.35,1.36,1.36,1.36,1.37,1.37
1.33,1.35,1.35,1.36,1.37,1.37,1.37,1.37,1.37,1.38,1.38
1.31,1.35,1.35,1.35,1.36,1.36,1.36,1.36,1.36,1.37,1.37
1.22,1.28,1.29,1.29,1.32,1.33,1.33,1.33,1.34,1.34,1.35
1.31,1.32,1.35,1.36,1.37,1.37,1.38,1.38,1.41,1.41,1.41
1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.28,1.32,1.34,1.34,1.35,1.36,1.36,1.37,1.37,1.37,1.37
1.31,1.31,1.33,1.33,1.33,1.34,1.34,1.35,1.35,1.35,1.35
1.28,1.33,1.35,1.35,1.36,1.36,1.37,1.37,1.37,1.37,1.37
1.33,1.33,1.36,1.36,1.37,1.37,1.37,1.37,1.37,1.38,1.38
1.23,1.34,1.36,1.36,1.36,1.37,1.37,1.37,1.37,1.37,1.37
1.35,1.36,1.36,1.36,1.37,1.37,1.37,1.38,1.38,1.38,1.38
1.32,1.35,1.35,1.37,1.37,1.38,1.38,1.38,1.38,1.41,1.41
1.3,1.3,1.31,1.32,1.32,1.33,1.33,1.35,1.36,1.37,1.38
1.29,1.32,1.32,1.35,1.35,1.36,1.36,1.36,1.36,1.37,1.37
1.25,1.31,1.33,1.34,1.35,1.36,1.36,1.37,1.37,1.37,1.37
1.24,1.28,1.3,1.3,1.33,1.41,1.41,1.41,1.41,1.41,1.41
1.33,1.34,1.35,1.35,1.35,1.35,1.36,1.36,1.37,1.37,1.37
1.32,1.32,1.32,1.35,1.35,1.36,1.36,1.36,1.36,1.36,1.37
1.3,1.31,1.32,1.32,1.34,1.35,1.36,1.36,1.36,1.37,1.37
1.28,1.32,1.34,1.35,1.37,1.37,1.38,1.38,1.38,1.39,1.39
1.29,1.31,1.32,1.32,1.32,1.34,1.34,1.35,1.35,1.36,1.38
1.31,1.33,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.36,1.37
1.32,1.35,1.36,1.37,1.37,1.38,1.38,1.38,1.38,1.38,1.38
1.35,1.35,1.36,1.37,1.37,1.37,1.37,1.38,1.38,1.38,1.38
1.21,1.24,1.25,1.3,1.35,1.35,1.36,1.36,1.36,1.38,1.38
1.24,1.35,1.36,1.36,1.37,1.38,1.38,1.38,1.38,1.38,1.39
1.34,1.34,1.35,1.35,1.36,1.36,1.36,1.37,1.37,1.37,1.38
1.3,1.32,1.34,1.35,1.35,1.35,1.35,1.36,1.36,1.38,1.38
1.34,1.35,1.35,1.35,1.37,1.37,1.38,1.38,1.38,1.38,1.41
1.28,1.33,1.33,1.33,1.34,1.35,1.35,1.36,1.36,1.36,1.36
1.28,1.31,1.32,1.34,1.34,1.35,1.35,1.36,1.37,1.37,1.37
1.29,1.33,1.35,1.35,1.35,1.37,1.37,1.37,1.37,1.38,1.38
