0,1,2,3,4,5,6
0.68,0.72,1.0,1.13,1.18,1.22,1.23
1.0,1.25,1.27,1.28,1.29,1.31,1.32
1.0,1.21,1.21,1.28,1.28,1.28,1.28
1.0,1.26,1.28,1.3,1.33,1.33,1.34
1.0,1.2,1.22,1.25,1.26,1.28,1.28
1.0,1.26,1.26,1.27,1.27,1.28,1.28
0.72,0.81,1.0,1.17,1.21,1.24,1.25
1.0,1.25,1.27,1.27,1.28,1.28,1.28
1.0,1.19,1.2,1.22,1.23,1.26,1.27
1.0,1.26,1.34,1.34,1.34,1.35,1.35
1.0,1.25,1.25,1.29,1.3,1.33,1.34
1.0,1.26,1.26,1.29,1.29,1.32,1.32
0.81,1.0,1.19,1.28,1.29,1.31,1.31
1.0,1.17,1.3,1.31,1.32,1.32,1.33
1.0,1.24,1.25,1.31,1.31,1.32,1.33
1.0,1.3,1.31,1.31,1.32,1.32,1.32
1.0,1.14,1.18,1.22,1.24,1.29,1.29
1.0,1.2,1.22,1.25,1.26,1.27,1.27
1.0,1.07,1.14,1.18,1.2,1.22,1.23
1.0,1.19,1.23,1.25,1.25,1.26,1.28
1.0,1.2,1.24,1.27,1.27,1.27,1.28
1.0,1.21,1.24,1.24,1.28,1.31,1.32
1.0,1.3,1.3,1.3,1.3,1.31,1.31
1.0,1.15,1.18,1.18,1.24,1.24,1.27
0.53,0.54,1.0,1.17,1.2,1.23,1.28
1.0,1.06,1.22,1.25,1.29,1.29,1.3
1.0,1.19,1.29,1.29,1.29,1.29,1.3
0.53,0.73,1.0,1.21,1.23,1.25,1.3
0.74,0.82,1.0,1.02,1.14,1.15,1.18
1.0,1.25,1.28,1.32,1.33,1.34,1.34
1.0,1.05,1.24,1.25,1.26,1.27,1.3
1.0,1.32,1.33,1.33,1.33,1.35,1.35
1.0,1.13,1.15,1.23,1.23,1.24,1.26
1.0,1.28,1.29,1.29,1.29,1.3,1.3
1.0,1.29,1.34,1.34,1.34,1.35,1.36
1.0,1.25,1.27,1.28,1.3,1.3,1.31
1.0,1.25,1.25,1.3,1.3,1.31,1.31
1.0,1.28,1.29,1.3,1.3,1.3,1.3
1.0,1.2,1.26,1.27,1.27,1.28,1.31
1.0,1.23,1.25,1.26,1.28,1.29,1.29
1.0,1.19,1.21,1.26,1.33,1.33,1.35
1.0,1.23,1.3,1.3,1.31,1.32,1.33
1.0,1.19,1.25,1.26,1.26,1.26,1.28
1.0,1.2,1.28,1.3,1.3,1.3,1.32
1.0,1.28,1.28,1.3,1.3,1.32,1.32
0.52,0.96,1.0,1.09,1.21,1.25,1.25
1.0,1.15,1.16,1.17,1.18,1.18,1.19
