0,1
421,6.127703647664892e-114
167,1.6236950179461978e-113
499,1.7884189910121434e-113
540,1.8502373984185045e-113
520,1.8757106464682014e-113
13,1.8805108545227804e-113
472,1.9488990598055646e-113
28,1.9727078472926524e-113
95,2.0434263070539923e-113
56,2.0864888228475043e-113
446,2.0864888228475043e-113
580,2.0864888228475043e-113
276,2.1673375495756886e-113
584,2.1791620191381813e-113
554,2.2458971845478133e-113
89,2.3335027501611105e-113
329,2.3388413149196272e-113
460,2.372795659548892e-113
169,2.37451714984639e-113
147,2.3870337619742228e-113
230,2.461895692132031e-113
